Origin,Origin Name,Origin Country,Origin City,Destination,Destination Name,Destination Country,Destination City,Total Time,Aircraft Registration,Aircraft Description,Distance Flown
EGGD,Bristol,United Kingdom,Bristol,EDDI,Tempelhof,Germany,Berlin,02:05:14,G-BNWH,BOEING B763,1113.2 Km
OETF,Taif,Saudi Arabia,Taif,OEHW,Hawtah,Saudi Arabia,Hawtah,01:21:14,C-WLPE,BOEING B763,675.5 Km
KPWT,Bremerton Natl,United States,Bremerton,KPWT,Bremerton Natl,United States,Bremerton,00:09:06,N760PL,Cessna C172,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,02:14:30,C-WLPE,BOEING B763,1287.7 Km
KMVY,Marthas Vineyard,United States,Vineyard Haven,KACK,Nantucket Meml,United States,Nantucket,00:52:08,N81868,MAULE M7,48.9 Km
LFMN,Nice-Cote dAzur,France,Nice-Cote dAzur,LFLL,Saint Exupery,France,Lyon,00:58:34,C-WLPE,BOEING B763,284.6 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,02:14:08,C-WLPE,BOEING B763,1287.7 Km
KMEV,Minden-Tahoe,United States,Minden,KMEV,Minden-Tahoe,United States,Minden,01:20:45,N88ZZ,DG 808s,0 Km
EGGD,Bristol,United Kingdom,Bristol,EDDB,Schonefeld,Germany,Berlin,02:12:33,C-WLPE,BOEING B763,1121.4 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:06:42,NC77585,Piper J3,0 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:05:09,NC77585,Piper J3,0 Km
4SD,Reno-Stead,United States,Reno,4SD,Reno-Stead,United States,Reno,00:07:24,N44RN,P51 Mustang,0 Km
LFPB,Le Bourget,France,Paris,LFPB,Le Bourget,France,Paris,00:28:29,F-X395,AIRBUS A321,0 Km
FD51,Summerland Key Cove,United States,Summerland Key,FD51,Summerland Key Cove,United States,Summerland Key,00:09:47,207,AGUSTA EH10,0 Km
FAUR,Utrecht,South Africa,Utrecht,FANC,Newcastle,South Africa,Newcastle,00:15:52,N350DC,Douglas DC3,35.8 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:09:31,N700MS,EXTRA E300,0 Km
KOSH,Wittman Regl,United States,Oshkosh,KOSH,Wittman Regl,United States,Oshkosh,00:05:21,N700MS,EXTRA E300,0 Km
KAVX,Catalina,United States,Avalon,KAVX,Catalina,United States,Avalon,00:09:35,N208BC,Cessna C208,0 Km
KAVX,Catalina,United States,Avalon,KTOA,Zamperini,United States,Torrance,00:16:28,N208BC,Cessna C208,44.8 Km
KAVX,Catalina,United States,Avalon,KAVX,Catalina,United States,Avalon,00:08:49,N208BC,Cessna C208,0 Km
KAVX,Catalina,United States,Avalon,KSMO,Santa Monica Mun,United States,Santa Monica,00:18:34,N208BC,Cessna C208,67.8 Km
IKO,Nikolski AS,United States,Nikolski,PADU,Unalaska,United States,Unalaska,00:51:13,N48550,Grumman G21,187.6 Km
KMIA,Miami Intl,United States,Miami,KMIA,Miami Intl,United States,Miami,00:31:20,N45LR,BOMBARDIER LJ45,0 Km
LFPB,Le Bourget,France,Paris,LFPB,Le Bourget,France,Paris,00:32:21,F-X395,AIRBUS A321,0 Km
CYVR,Vancouver Intl,Canada,Vancouver,KSFO,San Francisco Intl,United States,San Francisco,01:48:02,C-WLPE,BOEING B763,1287.7 Km
LIRF,Fiumicino,Italy,Rome,LIRA,Ciampino,Italy,Rome,00:24:27,N72163,MAULE M7,29.8 Km
KCZK,Cascade Locks State,United States,Cascade Locks,KPDX,Portland Intl,United States,Portland,01:04:32,N208EH,Cessna C208,159.9 Km
KBOS,Logan Intl,United States,Boston,32M,Norfolk,United States,Norfolk,00:26:02,N208BC,Cessna C208,62.1 Km
KIJD,Windham,United States,Willimantic,KSNC,Chester,United States,Chester,00:40:21,N176CM,Cessna C172,73.4 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,00:32:08,N700MS,Cessna C172,68.3 Km
KMHV,Mojave,United States,Mojave,KEDW,Edwards AFB,United States,Edwards,00:23:41,N747I,BOEING B744,29.8 Km
KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,KATL,Hartsfield - Jackson Atlanta I,United States,Atlanta,00:08:52,N700MS,Cessna C172,0 Km
KMIA,Miami Intl,United States,Miami,MYBS,South Bimini,"Bahamas, The",Bimini I,00:27:17,N45LR,BOMBARDIER LJ45,103.6 Km
KMSY,Armstrong New Orleans Intl,United States,New Orleans,KMSY,Armstrong New Orleans Intl,United States,New Orleans,00:21:13,N700MS,Cessna C172,0 Km
